ano;uf;dt_referencia;dt_geracao;qtd_contratos_total;valor_total_contratos;qtd_operacoes_total;arquivo_origem
2018;PI;2018_12;2026_04_29;93390;411466766.1;93390;pronaf_gaia_historico_anual_2018.xlsx
2018;PR;2018_12;2026_04_29;111091;3969789254.57;111091;pronaf_gaia_historico_anual_2018.xlsx
2018;RJ;2018_12;2026_04_29;4659;143234629.85999998;4659;pronaf_gaia_historico_anual_2018.xlsx
2018;RN;2018_12;2026_04_29;46292;184339273.78;46292;pronaf_gaia_historico_anual_2018.xlsx
2018;RO;2018_12;2026_04_29;22771;985791702.35;22771;pronaf_gaia_historico_anual_2018.xlsx
2018;RR;2018_12;2026_04_29;1319;41654492.2;1319;pronaf_gaia_historico_anual_2018.xlsx
2018;RS;2018_12;2026_04_29;197064;6217471469.12;197064;pronaf_gaia_historico_anual_2018.xlsx
2018;SC;2018_12;2026_04_29;90959;3245526431.76;90959;pronaf_gaia_historico_anual_2018.xlsx
2018;SE;2018_12;2026_04_29;26868;200378537.39000002;26868;pronaf_gaia_historico_anual_2018.xlsx
2018;SP;2018_12;2026_04_29;16105;603809669.52;16105;pronaf_gaia_historico_anual_2018.xlsx
2018;TO;2018_12;2026_04_29;3833;98215083.3;3833;pronaf_gaia_historico_anual_2018.xlsx
2019;AC;2019_12;2026_04_29;3248;132252518.63;3248;pronaf_gaia_historico_anual_2019.xlsx
2019;AL;2019_12;2026_04_29;34921;229538078.7;34921;pronaf_gaia_historico_anual_2019.xlsx
2019;AM;2019_12;2026_04_29;560;20303270.36;560;pronaf_gaia_historico_anual_2019.xlsx
2019;AP;2019_12;2026_04_29;465;11451202.139999999;465;pronaf_gaia_historico_anual_2019.xlsx
2019;BA;2019_12;2026_04_29;207039;1002548281.51;207039;pronaf_gaia_historico_anual_2019.xlsx
2019;CE;2019_12;2026_04_29;100376;490485409.68;100376;pronaf_gaia_historico_anual_2019.xlsx
2019;DF;2019_12;2026_04_29;74;2775386.3000000003;74;pronaf_gaia_historico_anual_2019.xlsx
2019;ES;2019_12;2026_04_29;17119;689644795.12;17119;pronaf_gaia_historico_anual_2019.xlsx
2019;GO;2019_12;2026_04_29;15703;648225274.57;15703;pronaf_gaia_historico_anual_2019.xlsx
2019;MA;2019_12;2026_04_29;72967;496535765.53;72967;pronaf_gaia_historico_anual_2019.xlsx
2019;MG;2019_12;2026_04_29;134752;2632760240.23;134752;pronaf_gaia_historico_anual_2019.xlsx
2019;MS;2019_12;2026_04_29;6328;214413148.95000002;6328;pronaf_gaia_historico_anual_2019.xlsx
2019;MT;2019_12;2026_04_29;16660;918654921.12;16660;pronaf_gaia_historico_anual_2019.xlsx
2019;PA;2019_12;2026_04_29;12938;361728245.1;12938;pronaf_gaia_historico_anual_2019.xlsx
2019;PB;2019_12;2026_04_29;61451;285071286.39;61451;pronaf_gaia_historico_anual_2019.xlsx
2019;PE;2019_12;2026_04_29;90675;474053303.86;90675;pronaf_gaia_historico_anual_2019.xlsx
2019;PI;2019_12;2026_04_29;84883;407237200.04;84883;pronaf_gaia_historico_anual_2019.xlsx
2019;PR;2019_12;2026_04_29;110584;4369654503.8;110584;pronaf_gaia_historico_anual_2019.xlsx
2019;RJ;2019_12;2026_04_29;4072;134354952.9;4072;pronaf_gaia_historico_anual_2019.xlsx
2019;RN;2019_12;2026_04_29;42211;185583304.42;42211;pronaf_gaia_historico_anual_2019.xlsx
2019;RO;2019_12;2026_04_29;20889;1017899601.34;20889;pronaf_gaia_historico_anual_2019.xlsx
2019;RR;2019_12;2026_04_29;1385;46127629.21;1385;pronaf_gaia_historico_anual_2019.xlsx
2019;RS;2019_12;2026_04_29;189996;6754999964.02;189996;pronaf_gaia_historico_anual_2019.xlsx
2019;SC;2019_12;2026_04_29;85033;3498724455.7999997;85033;pronaf_gaia_historico_anual_2019.xlsx
2019;SE;2019_12;2026_04_29;25159;215812003.64000002;25159;pronaf_gaia_historico_anual_2019.xlsx
2019;SP;2019_12;2026_04_29;14716;630958965.89;14716;pronaf_gaia_historico_anual_2019.xlsx
2019;TO;2019_12;2026_04_29;3583;111404171.78;3583;pronaf_gaia_historico_anual_2019.xlsx
2020;AC;2020_12;2026_04_29;3514;170078469.10999998;3514;pronaf_gaia_historico_anual_2020.xlsx
2020;AL;2020_12;2026_04_29;36531;264653017.25;36531;pronaf_gaia_historico_anual_2020.xlsx
2020;AM;2020_12;2026_04_29;359;19697408.240000002;359;pronaf_gaia_historico_anual_2020.xlsx
2020;AP;2020_12;2026_04_29;379;9665893.67;379;pronaf_gaia_historico_anual_2020.xlsx
2020;BA;2020_12;2026_04_29;221245;1212076325.21;221245;pronaf_gaia_historico_anual_2020.xlsx
2020;CE;2020_12;2026_04_29;107499;542852817.08;107499;pronaf_gaia_historico_anual_2020.xlsx
2020;DF;2020_12;2026_04_29;75;1818923.07;75;pronaf_gaia_historico_anual_2020.xlsx
2020;ES;2020_12;2026_04_29;17723;740208828.3;17723;pronaf_gaia_historico_anual_2020.xlsx
2020;GO;2020_12;2026_04_29;15832;721538137.35;15832;pronaf_gaia_historico_anual_2020.xlsx
2020;MA;2020_12;2026_04_29;85344;589881345.99;85344;pronaf_gaia_historico_anual_2020.xlsx
2020;MG;2020_12;2026_04_29;143079;2994945354.14;143079;pronaf_gaia_historico_anual_2020.xlsx
2020;MS;2020_12;2026_04_29;5754;222243611.8;5754;pronaf_gaia_historico_anual_2020.xlsx
2020;MT;2020_12;2026_04_29;19652;1175974074.44;19652;pronaf_gaia_historico_anual_2020.xlsx
2020;PA;2020_12;2026_04_29;12632;491046791.34;12632;pronaf_gaia_historico_anual_2020.xlsx
2020;PB;2020_12;2026_04_29;63305;310556686.41;63305;pronaf_gaia_historico_anual_2020.xlsx
2020;PE;2020_12;2026_04_29;93341;556125515.94;93341;pronaf_gaia_historico_anual_2020.xlsx
2020;PI;2020_12;2026_04_29;98255;446718077.69;98255;pronaf_gaia_historico_anual_2020.xlsx
2020;PR;2020_12;2026_04_29;111749;5267765609.11;111749;pronaf_gaia_historico_anual_2020.xlsx
2020;RJ;2020_12;2026_04_29;3933;143299915.87;3933;pronaf_gaia_historico_anual_2020.xlsx
2020;RN;2020_12;2026_04_29;40963;198552013.03;40963;pronaf_gaia_historico_anual_2020.xlsx
2020;RO;2020_12;2026_04_29;24282;1365271028.18;24282;pronaf_gaia_historico_anual_2020.xlsx
2020;RR;2020_12;2026_04_29;1618;59309503.42;1618;pronaf_gaia_historico_anual_2020.xlsx
2020;RS;2020_12;2026_04_29;193709;8272944825.72;193709;pronaf_gaia_historico_anual_2020.xlsx
2020;SC;2020_12;2026_04_29;91567;4379787599.38;91567;pronaf_gaia_historico_anual_2020.xlsx
2020;SE;2020_12;2026_04_29;24968;255307594.1;24968;pronaf_gaia_historico_anual_2020.xlsx
2020;SP;2020_12;2026_04_29;13723;638974071.12;13723;pronaf_gaia_historico_anual_2020.xlsx
2020;TO;2020_12;2026_04_29;3508;121980417.33;3508;pronaf_gaia_historico_anual_2020.xlsx
2021;AC;2021_12;2026_04_29;4076;267653916.98000002;4076;pronaf_gaia_historico_anual_2021.xlsx
2021;AL;2021_12;2026_04_29;36085;306871777.19;36085;pronaf_gaia_historico_anual_2021.xlsx
2021;AM;2021_12;2026_04_29;658;30134658.89;658;pronaf_gaia_historico_anual_2021.xlsx
2021;AP;2021_12;2026_04_29;693;17386468.31;693;pronaf_gaia_historico_anual_2021.xlsx
2021;BA;2021_12;2026_04_29;218020;1502680133.09;218020;pronaf_gaia_historico_anual_2021.xlsx
2021;CE;2021_12;2026_04_29;90143;573060209.07;90143;pronaf_gaia_historico_anual_2021.xlsx
2021;DF;2021_12;2026_04_29;85;2225998.63;85;pronaf_gaia_historico_anual_2021.xlsx
2021;ES;2021_12;2026_04_29;19907;1036635090.74;19907;pronaf_gaia_historico_anual_2021.xlsx
2021;GO;2021_12;2026_04_29;16445;906202495.3100001;16445;pronaf_gaia_historico_anual_2021.xlsx
2021;MA;2021_12;2026_04_29;82691;711184353.87;82691;pronaf_gaia_historico_anual_2021.xlsx
2021;MG;2021_12;2026_04_29;146150;3769686223.04;146150;pronaf_gaia_historico_anual_2021.xlsx
2021;MS;2021_12;2026_04_29;5424;250469341.52;5424;pronaf_gaia_historico_anual_2021.xlsx
2021;MT;2021_12;2026_04_29;21218;1760698464.26;21218;pronaf_gaia_historico_anual_2021.xlsx
2021;PA;2021_12;2026_04_29;18079;851790319.17;18079;pronaf_gaia_historico_anual_2021.xlsx
2021;PB;2021_12;2026_04_29;68786;390651037.83;68786;pronaf_gaia_historico_anual_2021.xlsx
2021;PE;2021_12;2026_04_29;91022;654061672.95;91022;pronaf_gaia_historico_anual_2021.xlsx
2021;PI;2021_12;2026_04_29;98387;526506748.28000003;98387;pronaf_gaia_historico_anual_2021.xlsx
2021;PR;2021_12;2026_04_29;109253;6728797050.45;109253;pronaf_gaia_historico_anual_2021.xlsx
2021;RJ;2021_12;2026_04_29;4016;178317576.89;4016;pronaf_gaia_historico_anual_2021.xlsx
2021;RN;2021_12;2026_04_29;42400;238748575.14;42400;pronaf_gaia_historico_anual_2021.xlsx
2021;RO;2021_12;2026_04_29;26796;2102343411.78;26796;pronaf_gaia_historico_anual_2021.xlsx
2021;RR;2021_12;2026_04_29;1827;92592872.84;1827;pronaf_gaia_historico_anual_2021.xlsx
2021;RS;2021_12;2026_04_29;203021;10523063870.76;203021;pronaf_gaia_historico_anual_2021.xlsx
2021;SC;2021_12;2026_04_29;95740;5572334380.85;95740;pronaf_gaia_historico_anual_2021.xlsx
2021;SE;2021_12;2026_04_29;26000;320565288.79;26000;pronaf_gaia_historico_anual_2021.xlsx
2021;SP;2021_12;2026_04_29;13146;742911273.27;13146;pronaf_gaia_historico_anual_2021.xlsx
2021;TO;2021_12;2026_04_29;3721;174200191.89;3721;pronaf_gaia_historico_anual_2021.xlsx
2022;AC;2022_12;2026_04_29;4767;307830891.07;4767;pronaf_gaia_historico_anual_2022.xlsx
2022;AL;2022_12;2026_04_29;36486;374608432.29;36486;pronaf_gaia_historico_anual_2022.xlsx
2022;AM;2022_12;2026_04_29;1399;44840163.81;1399;pronaf_gaia_historico_anual_2022.xlsx
2022;AP;2022_12;2026_04_29;668;15164119.49;668;pronaf_gaia_historico_anual_2022.xlsx
2022;BA;2022_12;2026_04_29;199646;1786241050.07;199646;pronaf_gaia_historico_anual_2022.xlsx
2022;CE;2022_12;2026_04_29;98600;723788245.57;98600;pronaf_gaia_historico_anual_2022.xlsx
2022;DF;2022_12;2026_04_29;69;2155638.14;69;pronaf_gaia_historico_anual_2022.xlsx
2022;ES;2022_12;2026_04_29;20280;1349224281.69;20280;pronaf_gaia_historico_anual_2022.xlsx
2022;GO;2022_12;2026_04_29;15466;992678525.62;15466;pronaf_gaia_historico_anual_2022.xlsx
2022;MA;2022_12;2026_04_29;79763;830718509.35;79763;pronaf_gaia_historico_anual_2022.xlsx
2022;MG;2022_12;2026_04_29;149770;4587055763.61;149770;pronaf_gaia_historico_anual_2022.xlsx
2022;MS;2022_12;2026_04_29;5157;268798545.87;5157;pronaf_gaia_historico_anual_2022.xlsx
2022;MT;2022_12;2026_04_29;20378;1925326744.15;20378;pronaf_gaia_historico_anual_2022.xlsx
2022;PA;2022_12;2026_04_29;23191;1181969866.83;23191;pronaf_gaia_historico_anual_2022.xlsx
2022;PB;2022_12;2026_04_29;72303;432101923.92;72303;pronaf_gaia_historico_anual_2022.xlsx
2022;PE;2022_12;2026_04_29;85025;734788544.54;85025;pronaf_gaia_historico_anual_2022.xlsx
2022;PI;2022_12;2026_04_29;93798;557530555.17;93798;pronaf_gaia_historico_anual_2022.xlsx
2022;PR;2022_12;2026_04_29;116377;8688715960.03;116377;pronaf_gaia_historico_anual_2022.xlsx
2022;RJ;2022_12;2026_04_29;3377;183145808.14;3377;pronaf_gaia_historico_anual_2022.xlsx
2022;RN;2022_12;2026_04_29;41994;264447419.66;41994;pronaf_gaia_historico_anual_2022.xlsx
2022;RO;2022_12;2026_04_29;27536;2181191208.0499997;27536;pronaf_gaia_historico_anual_2022.xlsx
2022;RR;2022_12;2026_04_29;1458;90482644.19;1458;pronaf_gaia_historico_anual_2022.xlsx
2022;RS;2022_12;2026_04_29;216497;14204210151.88;216497;pronaf_gaia_historico_anual_2022.xlsx
2022;SC;2022_12;2026_04_29;97725;6625906043.39;97725;pronaf_gaia_historico_anual_2022.xlsx
2022;SE;2022_12;2026_04_29;26410;433283235.2;26410;pronaf_gaia_historico_anual_2022.xlsx
2022;SP;2022_12;2026_04_29;12128;816325440.87;12128;pronaf_gaia_historico_anual_2022.xlsx
2022;TO;2022_12;2026_04_29;3713;189471812.13;3713;pronaf_gaia_historico_anual_2022.xlsx
2023;AC;2023_12;2026_04_29;4898;394913237.55;4898;pronaf_gaia_historico_anual_2023.xlsx
2023;AL;2023_12;2026_04_29;36683;537421698.61;36683;pronaf_gaia_historico_anual_2023.xlsx
2023;AM;2023_12;2026_04_29;1365;70115055.69;1365;pronaf_gaia_historico_anual_2023.xlsx
2023;AP;2023_12;2026_04_29;501;15438301.5;501;pronaf_gaia_historico_anual_2023.xlsx
2023;BA;2023_12;2026_04_29;225823;2568215551.61;225823;pronaf_gaia_historico_anual_2023.xlsx
2023;CE;2023_12;2026_04_29;110637;1048526366.66;110637;pronaf_gaia_historico_anual_2023.xlsx
2023;DF;2023_12;2026_04_29;56;2899531.77;56;pronaf_gaia_historico_anual_2023.xlsx
