ano;uf;dt_referencia;dt_geracao;familias_com_ater_iniciada_no_ano;familias_com_ater_recebida_no_ano;arquivo_origem
2021;MT;2025-11-30;2025-12-12;153;153;ater_ano_2021_ref_2025-11-30_gerado_em_20251212192827.xlsx
2021;PA;2025-11-30;2025-12-12;177;1086;ater_ano_2021_ref_2025-11-30_gerado_em_20251212192827.xlsx
2021;PB;2025-11-30;2025-12-12;0;3869;ater_ano_2021_ref_2025-11-30_gerado_em_20251212192827.xlsx
2021;PE;2025-11-30;2025-12-12;0;2976;ater_ano_2021_ref_2025-11-30_gerado_em_20251212192827.xlsx
2021;PI;2025-11-30;2025-12-12;0;3555;ater_ano_2021_ref_2025-11-30_gerado_em_20251212192827.xlsx
2021;PR;2025-11-30;2025-12-12;11;1694;ater_ano_2021_ref_2025-11-30_gerado_em_20251212192827.xlsx
2021;RN;2025-11-30;2025-12-12;0;3535;ater_ano_2021_ref_2025-11-30_gerado_em_20251212192827.xlsx
2021;RO;2025-11-30;2025-12-12;111;111;ater_ano_2021_ref_2025-11-30_gerado_em_20251212192827.xlsx
2021;RS;2025-11-30;2025-12-12;1;3699;ater_ano_2021_ref_2025-11-30_gerado_em_20251212192827.xlsx
2021;SC;2025-11-30;2025-12-12;0;3311;ater_ano_2021_ref_2025-11-30_gerado_em_20251212192827.xlsx
2021;SE;2025-11-30;2025-12-12;0;1401;ater_ano_2021_ref_2025-11-30_gerado_em_20251212192827.xlsx
2021;SP;2025-11-30;2025-12-12;0;71;ater_ano_2021_ref_2025-11-30_gerado_em_20251212192827.xlsx
2021;TO;2025-11-30;2025-12-12;64;64;ater_ano_2021_ref_2025-11-30_gerado_em_20251212192827.xlsx
2022;AC;2025-11-30;2025-12-12;212;212;ater_ano_2022_ref_2025-11-30_gerado_em_20251212192827.xlsx
2022;AL;2025-11-30;2025-12-12;370;687;ater_ano_2022_ref_2025-11-30_gerado_em_20251212192827.xlsx
2022;AM;2025-11-30;2025-12-12;328;329;ater_ano_2022_ref_2025-11-30_gerado_em_20251212192827.xlsx
2022;AP;2025-11-30;2025-12-12;29;150;ater_ano_2022_ref_2025-11-30_gerado_em_20251212192827.xlsx
2022;BA;2025-11-30;2025-12-12;385;1096;ater_ano_2022_ref_2025-11-30_gerado_em_20251212192827.xlsx
2022;CE;2025-11-30;2025-12-12;495;1374;ater_ano_2022_ref_2025-11-30_gerado_em_20251212192827.xlsx
2022;DF;2025-11-30;2025-12-12;126;522;ater_ano_2022_ref_2025-11-30_gerado_em_20251212192827.xlsx
2022;ES;2025-11-30;2025-12-12;478;478;ater_ano_2022_ref_2025-11-30_gerado_em_20251212192827.xlsx
2022;GO;2025-11-30;2025-12-12;2121;2158;ater_ano_2022_ref_2025-11-30_gerado_em_20251212192827.xlsx
2022;MA;2025-11-30;2025-12-12;946;1189;ater_ano_2022_ref_2025-11-30_gerado_em_20251212192827.xlsx
2022;MG;2025-11-30;2025-12-12;524;2609;ater_ano_2022_ref_2025-11-30_gerado_em_20251212192827.xlsx
2022;MS;2025-11-30;2025-12-12;1344;1895;ater_ano_2022_ref_2025-11-30_gerado_em_20251212192827.xlsx
2022;MT;2025-11-30;2025-12-12;1216;1346;ater_ano_2022_ref_2025-11-30_gerado_em_20251212192827.xlsx
2022;PA;2025-11-30;2025-12-12;356;1457;ater_ano_2022_ref_2025-11-30_gerado_em_20251212192827.xlsx
2022;PB;2025-11-30;2025-12-12;327;2811;ater_ano_2022_ref_2025-11-30_gerado_em_20251212192827.xlsx
2022;PE;2025-11-30;2025-12-12;848;1300;ater_ano_2022_ref_2025-11-30_gerado_em_20251212192827.xlsx
2022;PI;2025-11-30;2025-12-12;1031;2579;ater_ano_2022_ref_2025-11-30_gerado_em_20251212192827.xlsx
2022;PR;2025-11-30;2025-12-12;0;18;ater_ano_2022_ref_2025-11-30_gerado_em_20251212192827.xlsx
2022;RN;2025-11-30;2025-12-12;434;2358;ater_ano_2022_ref_2025-11-30_gerado_em_20251212192827.xlsx
2022;RO;2025-11-30;2025-12-12;122;233;ater_ano_2022_ref_2025-11-30_gerado_em_20251212192827.xlsx
2022;RR;2025-11-30;2025-12-12;219;219;ater_ano_2022_ref_2025-11-30_gerado_em_20251212192827.xlsx
2022;RS;2025-11-30;2025-12-12;55;1178;ater_ano_2022_ref_2025-11-30_gerado_em_20251212192827.xlsx
2022;SC;2025-11-30;2025-12-12;0;519;ater_ano_2022_ref_2025-11-30_gerado_em_20251212192827.xlsx
2022;SE;2025-11-30;2025-12-12;237;2063;ater_ano_2022_ref_2025-11-30_gerado_em_20251212192827.xlsx
2022;TO;2025-11-30;2025-12-12;279;343;ater_ano_2022_ref_2025-11-30_gerado_em_20251212192827.xlsx
2023;AC;2025-11-30;2025-12-12;0;192;ater_ano_2023_ref_2025-11-30_gerado_em_20251212192827.xlsx
2023;AL;2025-11-30;2025-12-12;506;1026;ater_ano_2023_ref_2025-11-30_gerado_em_20251212192827.xlsx
