politica;ano;uf;codigo_ibge;nome_uf;indicador;valor;formato;dt_referencia;dt_geracao;arquivo_origem
PRONAF;2016;AP;16;Amapá;Valor total dos contratos;5497633.76;moeda;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;AP;16;Amapá;Operacoes;140.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;BA;29;Bahia;Contratos;140515.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;BA;29;Bahia;Valor total dos contratos;453282424.66;moeda;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;BA;29;Bahia;Operacoes;140515.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;CE;23;Ceará;Contratos;75630.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;CE;23;Ceará;Valor total dos contratos;248657737.89;moeda;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;CE;23;Ceará;Operacoes;75630.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;DF;53;Distrito Federal;Contratos;108.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;DF;53;Distrito Federal;Valor total dos contratos;2755572.91;moeda;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;DF;53;Distrito Federal;Operacoes;108.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;ES;32;Espírito Santo;Contratos;17404.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;ES;32;Espírito Santo;Valor total dos contratos;531251527.2;moeda;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;ES;32;Espírito Santo;Operacoes;17404.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;GO;52;Goiás;Contratos;12624.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;GO;52;Goiás;Valor total dos contratos;413956871.71999997;moeda;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;GO;52;Goiás;Operacoes;12624.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;MA;21;Maranhão;Contratos;53449.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;MA;21;Maranhão;Valor total dos contratos;266546686.09;moeda;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;MA;21;Maranhão;Operacoes;53449.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;MG;31;Minas Gerais;Contratos;114595.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;MG;31;Minas Gerais;Valor total dos contratos;1723139186.73;moeda;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;MG;31;Minas Gerais;Operacoes;114595.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;MS;50;Mato Grosso do Sul;Contratos;6067.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;MS;50;Mato Grosso do Sul;Valor total dos contratos;167086088.88;moeda;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;MS;50;Mato Grosso do Sul;Operacoes;6067.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;MT;51;Mato Grosso;Contratos;15930.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;MT;51;Mato Grosso;Valor total dos contratos;642296282.46;moeda;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;MT;51;Mato Grosso;Operacoes;15930.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;PA;15;Pará;Contratos;9057.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;PA;15;Pará;Valor total dos contratos;152066493.15;moeda;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;PA;15;Pará;Operacoes;9057.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
PRONAF;2016;PB;25;Paraíba;Contratos;44746.0;inteiro;2016_12;2026_04_29;pronaf_gaia_historico_anual_2016.xlsx
