politica;indicador;uf;codigo_ibge;nome_uf;valor_uf;valor_brasil;percentual_uf_brasil;ranking_brasil;formato;dt_referencia;dt_geracao;arquivo_origem
CAF;Homens em CAF ativo;AM;13;Amazonas;64112.0;3519584.0;1.8215789138716392;14;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;Homens em CAF ativo;BA;29;Bahia;626049.0;3519584.0;17.787585123696438;1;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;Homens em CAF ativo;CE;23;Ceará;399942.0;3519584.0;11.363331575549838;2;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;Homens em CAF ativo;DF;53;Distrito Federal;3211.0;3519584.0;0.09123237291679927;27;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;Homens em CAF ativo;ES;32;Espírito Santo;64015.0;3519584.0;1.8188229063434769;15;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;Homens em CAF ativo;GO;52;Goiás;36167.0;3519584.0;1.0275930337221673;20;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;Homens em CAF ativo;MA;21;Maranhão;257579.0;3519584.0;7.318450135015957;5;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;Homens em CAF ativo;MT;51;Mato Grosso;40914.0;3519584.0;1.162466927909662;18;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;Homens em CAF ativo;MS;50;Mato Grosso do Sul;25284.0;3519584.0;0.7183803540418413;23;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;Homens em CAF ativo;MG;31;Minas Gerais;276706.0;3519584.0;7.861895042141344;4;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;Homens em CAF ativo;PA;15;Pará;180953.0;3519584.0;5.141317837562621;8;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;Homens em CAF ativo;PB;25;Paraíba;178832.0;3519584.0;5.081055033776719;9;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;Homens em CAF ativo;PR;41;Paraná;115725.0;3519584.0;3.2880306308927416;10;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
CAF;Homens em CAF ativo;PE;26;Pernambuco;285777.0;3519584.0;8.119624364697646;3;inteiro;2026_03;2026_04_10;caf_dap_ativos_ate_2026_03_gerado_em_20260410152650.xlsx
