dt_referencia;dt_geracao;cod_ibge;nome_municipio;uf;numero_familias_pa_criado_diferenciado_pnra;numero_familias_pa_criado_tradicional_pnra;numero_familias_reconhecimento_pnra;numero_familias_regularizacao_pnra;total_numero_familias_pnra;arquivo_origem
2026 até mar;2026_04_15;1302702;Manicoré-AM;AM;208.0;0.0;0.0;0.0;208.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1302801;Maraã-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1302900;Maués-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1303007;Nhamundá-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1303106;Nova Olinda do Norte-AM;AM;6.0;0.0;0.0;11.0;17.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1303205;Novo Airão-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1303304;Novo Aripuanã-AM;AM;1.0;0.0;0.0;0.0;1.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1303403;Parintins-AM;AM;0.0;0.0;0.0;2.0;2.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1303502;Pauini-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1303536;Presidente Figueiredo-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1303569;Rio Preto da Eva-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1303601;Santa Isabel do Rio Negro-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1303700;Santo Antônio do Içá-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1303809;São Gabriel da Cachoeira-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1303908;São Paulo de Olivença-AM;AM;0.0;0.0;0.0;95.0;95.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1303957;São Sebastião do Uatumã-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1304005;Silves-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1304062;Tabatinga-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1304104;Tapauá-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1304203;Tefé-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1304237;Tonantins-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1304260;Uarini-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1304302;Urucará-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1304401;Urucurituba-AM;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1399999;nan;AM;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1400027;Amajari-RR;RR;0.0;0.0;0.0;2.0;2.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1400050;Alto Alegre-RR;RR;0.0;0.0;0.0;1.0;1.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1400100;Boa Vista-RR;RR;0.0;0.0;0.0;2.0;2.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1400159;Bonfim-RR;RR;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1400175;Cantá-RR;RR;0.0;0.0;0.0;6.0;6.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1400209;Caracaraí-RR;RR;0.0;2.0;0.0;7.0;9.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1400233;Caroebe-RR;RR;0.0;0.0;0.0;2.0;2.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1400282;Iracema-RR;RR;0.0;0.0;0.0;4.0;4.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1400308;Mucajaí-RR;RR;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1400407;Normandia-RR;RR;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1400456;Pacaraima-RR;RR;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1400472;Rorainópolis-RR;RR;0.0;0.0;0.0;3.0;3.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1400506;São João da Baliza-RR;RR;0.0;0.0;0.0;1.0;1.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1400605;São Luiz-RR;RR;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1400704;Uiramutã-RR;RR;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1499999;nan;RR;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1500107;Abaetetuba-PA;PA;1.0;0.0;0.0;0.0;1.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1500131;Abel Figueiredo-PA;PA;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1500206;Acará-PA;PA;0.0;0.0;0.0;4.0;4.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1500305;Afuá-PA;PA;122.0;0.0;0.0;0.0;122.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1500347;Água Azul do Norte-PA;PA;0.0;0.0;0.0;1.0;1.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1500404;Alenquer-PA;PA;1.0;0.0;0.0;0.0;1.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1500503;Almeirim-PA;PA;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1500602;Altamira-PA;PA;0.0;0.0;0.0;1.0;1.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1500701;Anajás-PA;PA;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1500800;Ananindeua-PA;PA;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1500859;Anapu-PA;PA;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1500909;Augusto Corrêa-PA;PA;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1500958;Aurora do Pará-PA;PA;0.0;0.0;0.0;5.0;5.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1501006;Aveiro-PA;PA;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1501105;Bagre-PA;PA;493.0;0.0;0.0;0.0;493.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1501204;Baião-PA;PA;0.0;0.0;38.0;8.0;46.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1501253;Bannach-PA;PA;0.0;0.0;0.0;1.0;1.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1501303;Barcarena-PA;PA;30.0;0.0;0.0;0.0;30.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1501402;Belém-PA;PA;0.0;0.0;0.0;11.0;11.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1501451;Belterra-PA;PA;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1501501;Benevides-PA;PA;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1501576;Bom Jesus do Tocantins-PA;PA;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1501600;Bonito-PA;PA;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1501709;Bragança-PA;PA;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1501725;Brasil Novo-PA;PA;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1501758;Brejo Grande do Araguaia-PA;PA;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1501782;Breu Branco-PA;PA;0.0;0.0;0.0;2.0;2.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1501808;Breves-PA;PA;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1501907;Bujaru-PA;PA;0.0;0.0;0.0;1.0;1.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1501956;Cachoeira do Piriá-PA;PA;0.0;0.0;0.0;26.0;26.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1502004;Cachoeira do Arari-PA;PA;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1502103;Cametá-PA;PA;1.0;0.0;0.0;0.0;1.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1502152;Canaã dos Carajás-PA;PA;0.0;0.0;0.0;4.0;4.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1502202;Capanema-PA;PA;0.0;0.0;0.0;0.0;0.0;PNRA_2026_2026_04_15.xlsx
2026 até mar;2026_04_15;1502301;Capitão Poço-PA;PA;0.0;0.0;0.0;21.0;21.0;PNRA_2026_2026_04_15.xlsx
