tipo;politica;arquivo;aba;qtd_colunas;colunas
historico;ater;ater_ano_2021_ref_2025-11-30_gerado_em_20251212192827.xlsx;DADOS;10;dt_referencia, dt_geracao, ano, cod_ibge, nome_municipio, uf, Quantidade de atendimentos_ano, Soma de familias_com_ater_recebida_no_ano, Soma de familias_com_ater_iniciada_no_ano, media_atendimentos_por_familia
historico;ater;ater_ano_2021_ref_2025-11-30_gerado_em_20251212192827.xlsx;TOTALIZADORES;1;Planilha de Dados - Totalizadores
historico;ater;ater_ano_2022_ref_2025-11-30_gerado_em_20251212192827.xlsx;Orientações;1;Orientações
historico;ater;ater_ano_2022_ref_2025-11-30_gerado_em_20251212192827.xlsx;DADOS;10;dt_referencia, dt_geracao, ano, cod_ibge, nome_municipio, uf, Quantidade de atendimentos_ano, Soma de familias_com_ater_recebida_no_ano, Soma de familias_com_ater_iniciada_no_ano, media_atendimentos_por_familia
historico;ater;ater_ano_2022_ref_2025-11-30_gerado_em_20251212192827.xlsx;TOTALIZADORES;1;Planilha de Dados - Totalizadores
historico;ater;ater_ano_2023_ref_2025-11-30_gerado_em_20251212192827.xlsx;Orientações;1;Orientações
historico;ater;ater_ano_2023_ref_2025-11-30_gerado_em_20251212192827.xlsx;DADOS;10;dt_referencia, dt_geracao, ano, cod_ibge, nome_municipio, uf, Quantidade de atendimentos_ano, Soma de familias_com_ater_recebida_no_ano, Soma de familias_com_ater_iniciada_no_ano, media_atendimentos_por_familia
historico;ater;ater_ano_2023_ref_2025-11-30_gerado_em_20251212192827.xlsx;TOTALIZADORES;1;Planilha de Dados - Totalizadores
historico;ater;ater_ano_2024_ref_2025-11-30_gerado_em_20251212192827.xlsx;Orientações;1;Orientações
historico;ater;ater_ano_2024_ref_2025-11-30_gerado_em_20251212192827.xlsx;DADOS;10;dt_referencia, dt_geracao, ano, cod_ibge, nome_municipio, uf, Quantidade de atendimentos_ano, Soma de familias_com_ater_recebida_no_ano, Soma de familias_com_ater_iniciada_no_ano, media_atendimentos_por_familia
historico;ater;ater_ano_2024_ref_2025-11-30_gerado_em_20251212192827.xlsx;TOTALIZADORES;1;Planilha de Dados - Totalizadores
historico;ater;ater_ate_2025_12_gerado_em_20260114105014.xlsx;Orientações;1;Orientações
historico;ater;ater_ate_2025_12_gerado_em_20260114105014.xlsx;DADOS;7;dt_referencia, dt_geracao, cod_ibge, nome_municipio, uf, familias_com_ater_iniciada_no_ano, familias_com_ater_recebida_no_ano
historico;ater;ater_ate_2025_12_gerado_em_20260114105014.xlsx;TOTALIZADORES;1;Planilha de Dados - Totalizadores
historico;ater;ater_ate_2026_03_gerado_em_20260410151127.xlsx;Orientações;1;Orientações
historico;ater;ater_ate_2026_03_gerado_em_20260410151127.xlsx;DADOS;7;dt_referencia, dt_geracao, cod_ibge, nome_municipio, uf, familias_com_ater_iniciada_no_ano, familias_com_ater_recebida_no_ano
historico;ater;ater_ate_2026_03_gerado_em_20260410151127.xlsx;TOTALIZADORES;1;Planilha de Dados - Totalizadores
